名称,営業日,住所,アクセス
"個室居酒屋 大吉 だいきち 新宿駅前店","月～日、祝日、祝前日: 11:00～翌0:00 （料理L.O. 23:30 ドリンクL.O. 23:30）",東京都新宿区西新宿１-18-5　甲新ビル5F,大小の個室完備！2名～60名迄OK★JR新宿駅南口　徒歩1分／地下鉄丸ノ内線新宿駅　徒歩1分／都営大江戸線新宿駅　徒歩1分
"シュラスコ&肉寿司食べ放題 個室肉バル ミートキング 新宿駅前店","月～日、祝日、祝前日: 11:00～翌0:00","東京都新宿区歌舞伎町１-6-14 第2ショーリビル4F",新宿駅徒歩4分（炙り肉寿司！食べ放題2480円より）
"個室居酒屋 SUIGETSU 新宿駅前店","月～日、祝日、祝前日: 14:00～翌3:00 （料理L.O. 翌2:00 ドリンクL.O. 翌2:30）","東京都新宿区歌舞伎町１-17-5 4F","新宿駅3分 焼き鳥や肉寿司など全120種類3時間食べ飲み放題"
"焼肉 萬和苑 新宿店","月～日、祝日、祝前日: 11:00～翌0:00 （料理L.O. 23:00 ドリンクL.O. 23:30）",東京都新宿区新宿４丁目１ー１３　田園新宿ビル６F,"JR新宿駅 南口 徒歩1分 / 丸ノ内線 新宿三丁目駅 徒歩2分"
"個室肉バル 肉王 新宿駅前店","月～日、祝日、祝前日: 11:00～翌0:00",東京都新宿区歌舞伎町１-６-１４　第２ショーリビル４階,新宿駅徒歩4分（炙り肉寿司！食べ放題2480円より）
"個室居酒屋 とっとり 新宿本店","月～日、祝日、祝前日: 15:00～翌0:00 （料理L.O. 23:00 ドリンクL.O. 23:30）","東京都新宿区歌舞伎町１-6-3 東海苑ビル7F","新宿駅 東口 徒歩2分 / 西武新宿駅 徒歩2分 【全席個室／3時間飲み放題付コース3300円～】"
"焼肉 ふうふう亭 西武新宿駅前店","月～金、祝前日: 16:00～23:00 （料理L.O. 22:30 ドリンクL.O. 22:30）土、日、祝日: 12:00～23:00 （料理L.O. 22:30 ドリンクL.O. 22:30）",東京都新宿区歌舞伎町１-26-6　灯ビル6Ｆ,JR新宿駅東口徒歩5分、西武新宿駅徒歩1分！分からない時はお気軽にお電話ください！
"新宿テラス 新宿東口駅前店","月～日、祝日、祝前日: 16:30～23:30 （料理L.O. 22:30 ドリンクL.O. 23:00）","東京都新宿区新宿３-23-12 パンドラビル5F","JR新宿駅東口徒歩1分/◎歌舞伎町ドンキホーテ方面に真っ直ぐ進み、交差点手前左側 1階が「ミネドラッグ」のビル5F"
"肉バル居酒屋 肉道 nikumichi 新宿東口店","月～日、祝日、祝前日: 11:00～翌5:00 （料理L.O. 翌4:30 ドリンクL.O. 翌4:30）",東京都新宿区歌舞伎町１-16-10,【JR新宿駅東口徒歩3分】歌舞伎町入口すぐそば♪個室席は4名様～ご案内◎テレビモニター付き個室あり★
"牛角 新宿西口店","月～日、祝日、祝前日: 15:00～23:00 （料理L.O. 22:00 ドリンクL.O. 22:00）",東京都新宿区西新宿１－１５－８　アトラス西新宿ビル３・４・５Ｆ,JR新宿駅西口・南口徒歩2分（京王百貨店より徒歩2分）ヨドバシカメラそば
"金のジンギ 新宿店","月～日、祝日、祝前日: 15:00～翌1:00 （料理L.O. 翌0:00 ドリンクL.O. 翌0:30）","東京都新宿区西新宿１-19-13 青鈴ビルB1",新宿駅西口から徒歩2分♪総席数38席♪
"元祖麻婆豆腐 新宿店","月～日、祝日、祝前日: 11:00～21:00 （料理L.O. 20:00 ドリンクL.O. 20:00）",東京都新宿区西新宿１-15-13-2F,丸ノ内線，京王，小田急小田原線，都営，JR新宿駅地上出口７より徒歩3分/副都心線新宿三丁目駅Ｅ１０出口より徒歩約9分
"縁の宴 新宿東口店","月～日、祝日、祝前日: 15:00～翌0:00 （料理L.O. 23:30 ドリンクL.O. 23:30）",東京都新宿区歌舞伎町１-６-３石塚ビル８Ｆ,"新宿駅東口徒歩2分　桜通りトップ８F 厳選鍋が人気★個室も完備の本格居酒屋"
"水炊き 焼鳥 とりいちず酒場 歌舞伎町 西武新宿駅前店","月～日、祝日、祝前日: 12:00～23:30 （料理L.O. 22:00 ドリンクL.O. 22:30）",東京都新宿区歌舞伎町１丁目２６－６　灯ビル４Ｆ,"ＪＲ 新宿 徒歩3分 西武新宿駅より30秒！プレモル中ジョッキ219円でコスパ抜群の駅近居酒屋♪"
"瓦 ダイニング kawara CAFE&DINING 新宿東口店","月、火: 11:45～21:00 （料理L.O. 20:00 ドリンクL.O. 20:00）水、木: 11:45～22:00 （料理L.O. 21:00 ドリンクL.O. 21:00）金～日、祝日、祝前日: 11:45～22:30 （料理L.O. 21:30 ドリンクL.O. 21:30）",東京都新宿区新宿3-23-12　パンドラビル8F,JR新宿駅東口徒歩2分。アルタ左側の道路を直進。大通りとの角にあるビル8Ｆです。
"土間土間 西武新宿駅前店","月～日、祝日、祝前日: 16:00～23:00",東京都新宿区歌舞伎町１－２５－３　西武新宿駅前ビル６Ｆ,西武新宿駅徒歩1分／JR新宿駅徒歩5分／地下鉄丸ノ内線新宿三丁目駅徒歩5分
"台湾料理 味王 小酒舘","月～日、祝日、祝前日: 17:30～23:00 （料理L.O. 23:00 ドリンクL.O. 23:00）",東京都新宿区新宿３‐３６‐１８　国土三協ビル３Ｆ,JR新宿駅東南口徒歩1分
"レストラン はやしや","月～日、祝日、祝前日: 10:30～22:00 （料理L.O. 21:15 ドリンクL.O. 21:00）",東京都新宿区新宿３丁目２２－１２　新宿サンパークビル本館　５階,ＪＲ新宿駅を出て八百屋の通りをアルタ方面へ。三国一を右折。百円ショップを通り過ぎたゲームセンターの五階
"歌舞伎町焼肉一頭や 歌舞伎町新宿区役所通り店","月～日、祝日、祝前日: 17:00～20:00 （料理L.O. 19:00 ドリンクL.O. 19:00）","東京都新宿区歌舞伎町１-2-13 新光ビル 1Ｆ",新宿駅より徒歩約6分/新宿三丁目駅より徒歩約6分/西武新宿駅より徒歩約9分
"北九州酒場 西新宿店","月～金、祝前日: 11:30～翌0:00 （料理L.O. 22:30 ドリンクL.O. 23:00）土、祝日: 13:00～翌0:00 （料理L.O. 22:30 ドリンクL.O. 23:00）",東京都新宿区西新宿７-11-18　711ビルB1,"ＪＲ新宿駅 西口徒歩3分 都営大江戸線新宿西口駅D4番出口 徒歩1分 地下鉄丸ノ内線新宿駅徒歩1分"
"ミュンヘン 新宿西口ハルク店","月～日、祝日、祝前日: 11:00～20:00 （料理L.O. 19:00 ドリンクL.O. 19:00）","東京都新宿区西新宿１-5-1 小田急ハルク 食堂酒場ハル★チカMB3F",JR新宿駅　西口　徒歩2分／地下鉄新宿駅　B16～18番出口直結
"ワイン&ビア ムートン WINE&BEER MOUTON","火～土、祝日、祝前日: 17:00～翌0:00 （料理L.O. 23:30 ドリンクL.O. 23:30）",東京都新宿区新宿３-21-7　東新ビル4階,"ＪＲ 新宿駅 徒歩3分／地下鉄丸の内線 新宿駅 徒歩1分／地下鉄 新宿三丁目駅 徒歩5分／西武新宿線 西武新宿駅 徒歩5分"
"安安 新宿店","月: 16:00～20:00 （料理L.O. 19:30 ドリンクL.O. 18:50）火～金、祝前日: 16:00～翌2:00 （料理L.O. 翌1:30 ドリンクL.O. 翌1:30）土、祝日: 15:00～翌2:00 （料理L.O. 翌1:30 ドリンクL.O. 翌1:30）日: 15:00～23:30 （料理L.O. 23:00 ドリンクL.O. 23:00）",東京都新宿区歌舞伎町１-25-3　西武新宿駅前ビルB1F,"JR新宿駅　徒歩5分／西武新宿線 西武新宿駅 徒歩1分"
"ミステリアス MYSTERIOUS 新宿店","月～木、日、祝日: 17:00～23:30 （料理L.O. 23:00 ドリンクL.O. 23:00）金、土、祝前日: 17:00～翌5:00 （料理L.O. 翌4:00 ドリンクL.O. 翌4:00）",東京都新宿区歌舞伎町１‐１６‐３　新宿スクエアビルＢ１Ｆ,JR「新宿駅」東口徒歩5分/西武新宿線「西武新宿駅」徒歩3分/地下鉄丸ノ内線「新宿駅」徒歩3分
"THAI RESTAURANT BAN-THAI タイレストラン バンタイ","月～金、祝前日: 11:30～15:30 （料理L.O. 15:00 ドリンクL.O. 15:00）17:00～23:00 （料理L.O. 22:00 ドリンクL.O. 22:00）土、日、祝日: 11:30～23:00 （料理L.O. 22:00 ドリンクL.O. 22:00）","東京都新宿区歌舞伎町１‐23‐14　第一メトロビル3F ",【西武新宿駅】南口より徒歩2分／東京メトロ【新宿駅】Ｂ12出口より徒歩2分／【新宿駅】西口（Ｄ３出口）より徒歩3分
"かあさん 新宿駅前店","月～土、祝前日: 16:00～23:00 （料理L.O. 22:00 ドリンクL.O. 22:00）","東京都新宿区西新宿１-11-11　河野ビルＢ１  ",JR新宿駅西口徒歩3分／小田急線新宿駅西口徒歩3分／都営大江戸線新宿駅西口徒歩3分
"アジアン居酒屋 カラシュ","月～日、祝日、祝前日: 11:00～15:30 （料理L.O. 15:30 ドリンクL.O. 15:30）17:30～翌0:00 （料理L.O. 22:30 ドリンクL.O. 23:30）",東京都新宿区西新宿１－１９－１１　７F,新宿駅西口から徒歩3分
"スミビトケムリ 新宿店","月～木、土、日、祝日: 16:00～翌0:00 （料理L.O. 23:30 ドリンクL.O. 23:30）金、祝前日: 16:00～翌5:00 （料理L.O. 翌4:30 ドリンクL.O. 翌4:30）","東京都新宿区西新宿１-19-13 青鈴ビルB1 Aフロア",新宿駅西口から徒歩1分♪個室席完備＆卓上ハイボールサーバー完備《総席数55席》
"カフェマイアミ 新宿小田急エース店","月～日、祝日、祝前日: 10:00～14:5915:00～21:00 （料理L.O. 20:00 ドリンクL.O. 20:00）",東京都新宿区西新宿１丁目　西口地下街,各線・地下鉄新宿駅西口徒歩2分(新宿駅西口地下街小田急エース内）
"新宿っ子ダイニング ペコリ PECORI","月～日、祝日、祝前日: 17:00～翌5:00 （料理L.O. 翌4:00 ドリンクL.O. 翌4:30）",東京都新宿区歌舞伎町１－２５－３西武新宿駅前ビル７F,"新宿駅東口徒歩7分、西武新宿駅徒歩0分♪西武新宿駅前ビル７F!! 新宿東口で誕生日・女子会・会社宴会なら！朝まで営業！"
"肉バル個室 ミート&チーズ とらや 新宿東口店","月～木、日、祝日: 16:00～翌0:00 （料理L.O. 23:00 ドリンクL.O. 23:30）金、土、祝前日: 16:00～翌5:00 （料理L.O. 翌4:00 ドリンクL.O. 翌4:30）",東京都新宿区歌舞伎町１-6-3　東海苑ビル2F,新宿駅東口から徒歩2分、新宿三丁目駅から徒歩3分！3H飲み放題付コース2980円～♪人気の肉バル料理が目白押し！
"きてや 西武新宿駅前店","月～日、祝日、祝前日: 17:00～翌5:00 （料理L.O. 翌4:30）",東京都新宿区歌舞伎町２－４５－４　若月ビル１F,西武新宿線西武新宿駅北口徒歩1分／JR新宿駅東口徒歩6分／小田急線新宿駅東口徒歩5分／地下鉄各線新宿駅B13出口徒歩5分
"Claudia2 クラウディア2","月～日、祝日、祝前日: 11:30～23:00 （料理L.O. 22:30 ドリンクL.O. 22:30）","東京都新宿区新宿３-１０-１０ 要会館1F2F","ＪＲ 新宿駅 徒歩6分／都営新宿線 新宿三丁目駅 徒歩1分／副都心線・丸ノ内線 新宿三丁目駅 徒歩2分"
"笑い蔵 waraizo 新宿東口店","月～日、祝日、祝前日: 12:00～翌0:00 （料理L.O. 22:00 ドリンクL.O. 22:00）",東京都新宿区歌舞伎町１-15-12　大河原ビル4Ｆ,JR新宿東口徒歩3分/西武新宿駅2分（迷ったらお気軽にお電話下さい♪）
"バルダイニング イッツ","月～金、祝日、祝前日: 17:00～翌0:00 （料理L.O. 23:00 ドリンクL.O. 23:30）土、日: 12:00～翌0:00 （料理L.O. 23:00 ドリンクL.O. 23:30）",東京都新宿区歌舞伎町２－４５－１　１Ｆ,"東京都新宿区歌舞伎町2-45-1 1F　西武新宿駅徒歩1分"
"温野菜 西武新宿駅前店","月～日、祝日、祝前日: 17:00～21:00 （料理L.O. 19:30 ドリンクL.O. 19:30）",東京都新宿区歌舞伎町１-25-3西武新宿駅前ビル2F,"西武新宿駅すぐ前 徒歩1分、JR新宿駅から徒歩4分"
"bar 金魚鉢","月～土、祝前日: 18:00～翌5:00 （料理L.O. 翌4:00 ドリンクL.O. 翌4:30）","東京都新宿区歌舞伎町２-38-2 第2メトロビル2階",西武新宿線新宿駅から徒歩5分/JR新宿駅から徒歩10分
"66 カフェ 西新宿店","月～日、祝日、祝前日: 11:00～21:00 （料理L.O. 20:30）",東京都新宿区西新宿６－４－１　新宿アイランドアトリウムＢ１Ｆ,地下鉄丸ノ内線西新宿駅直結0分／JR新宿駅西口より徒歩8分
"ビー Bee 新宿店","月～木: 17:00～翌3:00 （料理L.O. 翌0:00 ドリンクL.O. 翌2:30）金: 17:00～翌5:00 （料理L.O. 翌3:30 ドリンクL.O. 翌4:30）土: 15:00～翌5:00 （料理L.O. 翌3:30 ドリンクL.O. 翌4:30）日、祝日: 15:00～翌3:00 （料理L.O. 翌0:00 ドリンクL.O. 翌2:30）祝前日: 17:00～翌5:00 （料理L.O. 翌3:30 ドリンクL.O. 翌4:00）",東京都新宿区新宿３－１８－４　セノビルＢ１・Ｂ２,"JR新宿駅東口徒歩1分／地下鉄各線新宿駅　Ｂ10出口徒歩0分 「すしざんまい」様と同じビル！B1、B2フロア"
"日日 にちにち 新宿本店","月～日、祝日、祝前日: 12:00～翌4:00 （料理L.O. 翌3:30 ドリンクL.O. 翌3:30）",東京都新宿区歌舞伎町２－３９－６　江口ビル１F,"西武新宿線 西武新宿駅 徒歩4分 ＪＲ 新宿駅 徒歩6分 "
"common cafe 新宿東口店","月～日、祝日、祝前日: 11:30～21:00 （料理L.O. 20:25 ドリンクL.O. 20:00）",東京都新宿区歌舞伎町１‐20‐2　アパホテル2階,"ＪＲ 新宿駅 徒歩5分/西武新宿線 西武新宿駅 徒歩3分/地下鉄丸ノ内線 新宿駅 徒歩5分 "
"ラッツダイニング Lad's Dining 新宿店","月～木: 17:00～翌2:00 （料理L.O. 翌1:30 ドリンクL.O. 翌1:30）金、祝前日: 17:00～翌5:00 （料理L.O. 翌4:30 ドリンクL.O. 翌4:30）土: 15:00～翌5:00 （料理L.O. 翌4:30 ドリンクL.O. 翌4:30）日、祝日: 15:00～翌2:00 （料理L.O. 翌1:30 ドリンクL.O. 翌1:30）","東京都新宿区新宿３‐３５‐７ さんらくビルＢ１Ｆ",JR新宿駅東南口から徒歩1分
"温野菜 新宿西口店","月～金、祝前日: 17:00～翌0:00 （料理L.O. 23:00 ドリンクL.O. 23:00）土、日、祝日: 15:00～翌0:00 （料理L.O. 23:00 ドリンクL.O. 23:00）",東京都新宿区西新宿１-15-2　第5オムニクスビル2F,"JR新宿駅西口徒歩4分／JR新宿駅南口徒歩3分／京王新線新宿駅徒歩2分／地下鉄丸ノ内線 新宿駅 徒歩4分"
"銀波 GINPA 新宿駅東口店","月～金、祝前日: 17:00～23:00 （料理L.O. 22:00 ドリンクL.O. 22:25）土: 11:30～15:00 （料理L.O. 14:00 ドリンクL.O. 14:30）17:00～23:00 （料理L.O. 22:00 ドリンクL.O. 22:25）日、祝日: 11:30～15:00 （料理L.O. 14:00 ドリンクL.O. 14:30）17:00～22:00 （料理L.O. 21:00 ドリンクL.O. 21:25）",東京都新宿区新宿３－３７－１２　新宿NOWAビル　４Ｆ," 山手線ＪＲ新宿駅東口・南口　徒歩１～２分 丸ノ内線 副都心線  新宿三丁目駅 徒歩５分  西武新宿線西武新宿駅　      "
"新宿肉バル パンとサーカス","月、水～金、祝前日: 16:00～23:30 （料理L.O. 22:30 ドリンクL.O. 23:00）火: 17:00～23:30 （料理L.O. 22:30 ドリンクL.O. 23:00）土、日、祝日: 12:00～23:30 （料理L.O. 22:30 ドリンクL.O. 23:00）","東京都新宿区新宿３-3-7 4F","東京メトロ，都営新宿線　新宿三丁目駅Ｃ３出口より、徒歩約20秒 / 新宿駅　Ａ５出口より、徒歩約5分"
"なだ万 賓館 小田急百貨店 新宿店","月～日、祝日、祝前日: 11:00～22:30 （料理L.O. 21:00 ドリンクL.O. 21:30）","東京都新宿区西新宿１-1-3 小田急百貨店　新宿　マンハッタンヒルズ14Ｆ",JR新宿駅西口徒歩0分／地下鉄大江戸線新宿駅徒歩3分
"串八珍 新宿中央口店","月～土、祝前日: 16:30～23:30 （料理L.O. 22:45 ドリンクL.O. 23:00）日、祝日: 16:00～23:00 （料理L.O. 22:15 ドリンクL.O. 22:30）",東京都新宿区新宿３－３４－１６　池田プラザビル２Ｆ,JR新宿駅東口・東南口　徒歩3分
"ビラビアンキ VILLA BIANCHI 新宿店","月～土、祝前日: 11:30～15:00 （料理L.O. 14:30 ドリンクL.O. 14:30）17:00～23:00 （料理L.O. 22:00 ドリンクL.O. 22:00）日、祝日: 11:30～15:00 （料理L.O. 14:30 ドリンクL.O. 14:30）17:00～22:00 （料理L.O. 21:00 ドリンクL.O. 21:00）",東京都渋谷区代々木2-2-1新宿サザンテラス小田急サザンタワー3F,【JR新宿駅新南改札徒歩２分】ステーキとワインの美味しいイタリアンバル、飲み会・女子会・同窓会におすすめ個室有り。
"やきとりセンター 新宿歌舞伎町一番街通り店","月～日、祝日、祝前日: 16:00～23:30 （料理L.O. 22:30 ドリンクL.O. 23:00）",東京都新宿区歌舞伎町１-17-2　小松ビル2F,新宿駅Ｄ３出口より徒歩約4分/西武新宿駅正面口より徒歩約4分
"やきとりセンター 新宿歌舞伎町店","月～日、祝日、祝前日: 16:00～23:30 （料理L.O. 23:00 ドリンクL.O. 23:00）",東京都新宿区歌舞伎町１－１５－５ビッグレモンビル２Ｆ,JR新宿駅東口徒歩3分／新宿ドンキ徒歩1分/西武新宿駅徒歩4分
"縁 新宿駅東口店","月～日、祝日、祝前日: 17:00～20:00 （料理L.O. 19:00 ドリンクL.O. 19:00）",東京都新宿区新宿３－２６－１８　カワノビル５Ｆ,"ＪＲ新宿駅 東口 徒歩3分"
"鳥貴族 西武新宿駅前店","月～木、日、祝日: 16:00～翌2:00 （料理L.O. 翌1:30）金、土、祝前日: 16:00～翌4:00 （料理L.O. 翌3:30）",東京都新宿区歌舞伎町１-25-3　ワモール4Ｆ,"西武新宿線  西武新宿駅  南口より  南へ徒歩1分JR線  新宿駅  東口より  北へ徒歩6分"
"温野菜 新宿店","月～金、祝前日: 17:00～翌0:00 （料理L.O. 23:50 ドリンクL.O. 23:50）土、日、祝日: 12:00～翌0:00 （料理L.O. 23:50 ドリンクL.O. 23:50）",東京都新宿区新宿３-20－8　WaMall　６F,JR　新宿駅東口から徒歩2分/地下道直結！西武新宿駅前（徒歩1分）のしゃぶしゃぶ温野菜は営業してます！
"ビタースイーツ ビュッフェ ルミネエスト新宿店","月～日、祝日、祝前日: 11:00～20:00 （料理L.O. 19:30 ドリンクL.O. 19:30）",東京都新宿区新宿３－３８－１　ルミネエスト新宿８F,JR新宿駅東口直結！徒歩0分　ルミネエスト新宿内／東京メトロ新宿駅1分
"菜々 土古里 とこり 小田急新宿店","月～日、祝日、祝前日: 11:00～15:0017:00～22:00 （料理L.O. 21:00 ドリンクL.O. 21:30）",東京都新宿区西新宿１－１－３　小田急百貨店　新宿　マンハッタンヒルズ１２Ｆ,JR・京王線・小田急線新宿駅徒歩3分　直結の新宿小田急百貨店のエレベーターで本館１２階にございます
"やきとりセンター 新宿NSビル店","月～金、祝前日: 11:30～14:00 （料理L.O. 13:45 ドリンクL.O. 13:45）16:00～23:00 （料理L.O. 22:00 ドリンクL.O. 22:30）土: 16:00～22:00 （料理L.O. 21:00 ドリンクL.O. 21:30）","東京都新宿区西新宿２-４ 新宿NSビル1F","JＲ新宿駅 徒歩8分 地下鉄丸ノ内線西新宿駅 徒歩8分 都営大江戸線都庁前駅 徒歩3分  "
"さくら 西新宿駅前店","月～金、祝前日: 07:30～15:0017:00～23:00 （料理L.O. 22:15 ドリンクL.O. 22:30）土: 16:00～23:00 （料理L.O. 22:15 ドリンクL.O. 22:30）","東京都新宿区西新宿８-4-2 野村不動産西新宿ビルB1",東京メトロ西新宿駅から徒歩２分
"温野菜 新宿東口駅前店","月～金、祝前日: 17:00～翌0:00 （料理L.O. 23:30 ドリンクL.O. 23:30）土、日、祝日: 16:00～翌0:00 （料理L.O. 23:30 ドリンクL.O. 23:30）",東京都新宿区新宿３-36-15　新宿内野ビル３Ｆ,JR　新宿駅東南口から徒歩1分/地下道直結！西武新宿駅前（徒歩1分）のしゃぶしゃぶ温野菜は営業してます！
"昌平ラーメン 新宿西口店","月～金、祝前日: 11:00～翌0:00 （料理L.O. 23:20 ドリンクL.O. 23:20）土、祝日: 11:00～23:30 （料理L.O. 22:50 ドリンクL.O. 22:50）",東京都新宿区西新宿７丁目12の４,西新宿駅から徒歩2分JR新宿駅各線より徒歩4分
"築地市場298 東新宿駅前店","月～日、祝日、祝前日: 11:00～15:0017:00～翌2:00",東京都新宿区大久保１-1-48　アポホテル地下１F,"地下鉄東新宿駅 B2番、 A2番出口　徒歩1分新宿三丁目駅 徒歩7分ＪＲ 新宿駅 徒歩15分新大久保駅 徒歩10分"
"バームーンウォーク 200yen bar moon walk 西武新宿駅前店","月～日、祝日、祝前日: 18:00～翌5:00 （料理L.O. 翌4:30 ドリンクL.O. 翌4:30）",東京都新宿区歌舞伎町２-45-4　第2与三郎ビル6階,西武新宿駅　徒歩1分、歌舞伎町
"大衆スタンド 神田屋 新宿三丁目末広通り店","月～土、祝前日: 12:00～翌0:00日、祝日: 12:00～22:00","東京都新宿区新宿３-７-３ 丸中ビル１F",東京メトロ，都営新宿線新宿三丁目駅徒歩約1分/京王，小田急小田原線，都営大江戸線，ＪＲ新宿駅Ｂ６出口より徒歩約6分
"Cafe&Bar Village","月～日、祝日、祝前日: 11:00～20:00 （料理L.O. 19:30 ドリンクL.O. 19:30）",東京都渋谷区代々木２‐6‐8　新宿exビル4F,"JR山手線 ／ 新宿駅(出口4) 徒歩1分（50m）新宿西口駅(出入口8(新宿線・京王新線)) 徒歩4分（260m）"
"英国風パブ HUB 西武新宿駅前店","月～木: 17:00～翌1:00金、祝前日: 17:00～翌2:00土: 16:00～翌2:00日、祝日: 16:00～翌1:00","東京都新宿区歌舞伎町１-26-6 灯ビルB1F","西武新宿駅 徒歩1分"
"みんなの居酒屋 Mt.ロッキー 新宿三丁目","月～日、祝日、祝前日: 16:00～23:00 （料理L.O. 22:00 ドリンクL.O. 22:30）","東京都新宿区新宿３-11-11  ダイアン新宿8F","都営新宿線 新宿三丁目駅 徒歩1分地下鉄副都心線 新宿三丁目駅 徒歩3分"
"カフェバー サニーサイド 新宿東口店","月～日、祝日、祝前日: 11:30～21:00 （料理L.O. 20:00 ドリンクL.O. 20:00）",東京都新宿区新宿３－２８－７　キーストンビル１Ｆ,JR新宿駅中央東口　徒歩１分/地下鉄丸ノ内線新宿三丁目駅　徒歩３分/西武新宿線西武新宿駅　徒歩５分
"絵のある街 新宿店","月～金、祝前日: 11:00～14:00 （料理L.O. 14:00 ドリンクL.O. 14:00）17:00～23:00 （料理L.O. 22:30 ドリンクL.O. 22:30）土、日、祝日: 11:00～23:00 （料理L.O. 22:30 ドリンクL.O. 22:30）","東京都新宿区西新宿７-15-17 東光ビル2F",新宿駅D5出口より徒歩約3分/西武新宿駅より徒歩約5分
"BAR K","月～日、祝日、祝前日: 18:00～翌2:00 （料理L.O. 翌1:00 ドリンクL.O. 翌1:00）",東京都新宿区新宿３-26-3コンワセンタービルb１,"大江戸線 ／ 新宿西口駅(A6) 徒歩1分山手線 ／ 新宿駅(A6) 徒歩1分丸ノ内線 ／ 新宿三丁目駅(B10) 徒歩2分"
"フロア完全貸切パーティー シャンクレール 新宿","月～日、祝日、祝前日: 09:00～22:30","東京都新宿区西新宿６-６-２　ヒルトン東京Ｂ１ ヒルトピア",新宿駅(西口)徒歩7分/西新宿駅(Ｃ8出口)徒歩2分/都庁前駅徒歩3分◎ヒルトン東京B１Ｆヒルトピア内にございます
"新宿CHINA DOLL チャイナドール グランドタワー本店","月～日、祝日、祝前日: 11:00～15:3017:30～23:00 （料理L.O. 22:30）","東京都新宿区西新宿８-17-3 住友不動産新宿グランドタワーB1F",東京メトロ丸の内線西新宿駅から徒歩3分
"ジクー jiQoo","月～金、祝前日: 15:00～23:30 （料理L.O. 23:30 ドリンクL.O. 23:30）土、日、祝日: 13:00～23:30 （料理L.O. 23:30 ドリンクL.O. 23:30）",東京都新宿区歌舞伎町１-25-3　西武新宿駅前ビル３F,新宿駅東口5分/西武新宿駅1分　新宿駅東口出てアルタ方面に進む。新宿大ガード東を過ぎて西武新宿線に向かう途中ビル3階
